subject_id,combidate,endcombidate,Country,Collector1,Collector2,HostInsect,Host Plant,Registration nr,Isthereanindicationofuncertaintyinthehostdata,Isitatypespecimen,subject_CatalogueIRN,NOTE
3314953,08/1988, ,United Kingdom,H. Roberts,,Aleyrodes lonicerae,Honeysuckle,,No,NON-TYPE,6546860,
3314954,1988, ,Syrian Arab Republic,,,,,,,NON-TYPE,6544579,
3314956,1985, ,Bulgaria,V. Natskova,,Trialeurodes vaporariorum,,,No,NON-TYPE,6546549,
3314957,24/02/1994, ,United States of America,A Hamon,,Tetraleurodes ursorum,Annona glabra,,No,Type,6544735,
3314958,17/07/1995, ,Costa Rica,P. Hanson,,,,,,Type,6545854,
3314960,05/1966, ,,J Ghesquiere,,,,,No,Type,6544764,
3314961,25/03/2009, ,United States of America,Andrew Polaszek,,,Hyptis emoryi,,No,Type,6544839,
3314962,25/03/2009, ,United States of America,Andrew Polaszek,,Aleuropleurocelus sp. n.,Hyptis emoryi,,No,Type,6545568,
3314963,25/03/2009, ,United States of America,Andrew Polaszek,,Aleuropleurocelus sp. n.,Hyptis emoryi,,No,Type,6546065,
3314965,25/03/2009, ,United States of America,Andrew Polaszek,,Aleuropleurocelus sp. n.,Hyptis emoryi,,No,Type,6546907,
3314966,04/1971, ,Zimbabwe,J. A. Coates Palgrave,,white fly,cotton & potatoes,,No,NON-TYPE,6545595,
3314967,09/03/1975, ,New Zealand,R. Tong.,,Trialeurodes vaporariorum,,,No,NON-TYPE,6544432,
3314969,25/11/1994, ,Syrian Arab Republic,,,whitefly,Lantana camara,,No,NON-TYPE,6546262,
3314970,04/1969, ,South Africa,B.G.Hill,,Bemisia tobaci,Tobacco,,No,NON-TYPE,6545230,
3314971,1988, ,Italy,,,,,,,NON-TYPE,6546871,
3314972, , ,Portugal,E.Hernandez,Andrew Polaszek,Aleyrodes singularis,Lysismachia nemoru,,No,Type,6545046,
3314974, , ,United Kingdom,"H. Roberts, MAFF",,Aleyrodes lonicerae,Honeysuckle,,No,NON-TYPE,6546565,
3314975, , ,,E. Hernandez,Andrew Polaszek,aleyrodes singularis,lysismachia nemorum,,No,Type,6545393,
3314976, , ,Portugal,Andrew Polaszek,,ex Aleyrodes ?singularis,Euphorbia stygiana,,Yes,NON-TYPE,6546437,
3314977, , ,Barbados,J.Jones,,Whitefly with Aleurotrachelus trachoides,,,No,NON-TYPE,6545360,
3314979,09/08/1995, ,Japan,H Kajita,,T. vaporariorum,pumkin,,No,NON-TYPE,6545015,
3314980, , ,Japan,H. Kajita,,T Vaporariorum,Pumpkin,,No,NON-TYPE,6546075,
3314981, , ,Portugal,A. Aguias,,T. vap,,,No,NON-TYPE,6546783,
3314982,06/1995, ,Argentina,A. Polac. E,,aleyrodid,tomato,,No,NON-TYPE,6545119,
3314983,10/1963, ,South Africa,B. Hill,,aleurodid,tomatoes,,No,NON-TYPE,6546357,
3314984,10/1963, ,South Africa,B. Hill,,aleurodid,tomatoes,,No,NON-TYPE,6545948,
3314985, , ,Philippines,I. Manila,M. Cock,Neuredicus disparius,guava,,Yes,NON-TYPE,6546489,
3314987,03/12/1985, ,Philippines,M.Cock,,Aleurodicus dispersus,guava,,No,NON-TYPE,6545441,
3314988,10/12/1994, ,Saint Kitts and Nevis,G.W.Watson,,Aleurodicus sp. nr. pulvinatus,Coconut frond,,No,NON-TYPE,6545719,
3314989,03/07/1991, ,Malaysia,H. Kajita,,Aleurodicus dispersus,Cassava,,No,NON-TYPE,6546151,
3314990,03/10/1991, ,United States of America,P. Watanabe,,Aleurodicus dispersus,Coccinia and beans,,No,NON-TYPE,6544902,
3314991,1988, ,Italy,,,,,,,NON-TYPE,6545126,
3314993,1988, ,Italy,,,,,,No,NON-TYPE,6546362,
3314994,1985, ,Bulgaria,V Natskova,J. S. Noyes,Trialeurodes unporariorum,,,No,NON-TYPE,6544255,
3314995,28/04/2014, ,,F.D.BENNETT,,KUWANASPIS PSEUDOLEUCAPIS,PHYLLOSTACHYS NIGRA,,No,NON-TYPE,6545744,
3314996, , ,Japan,H. Kaji,,D. aleurodes citro,Citrus,,No,NON-TYPE,6545564,
3314998,09/1982, ,South Africa,C. J. Cilliers,,T. vaporariorum,Lantana camara,,No,NON-TYPE,6546472,
3314999,19/05/1978, ,France,F. O. Bink,R. W. Bink,,,,,NON-TYPE,6546651,
3315000,1987, ,,,,,,,No,NON-TYPE,6544470,
3315001,25/06/1951, ,Russian Federation,B. Tshumakova,,Diaspidiotus gigas,,,No,NON-TYPE,6545294,
3315002,25/06/1951, ,Russian Federation,B.Tshumakova,,Diaspidiotus gigas,,,,NON-TYPE,6545773,
3315004, , ,Australia,J.S.Noyes,,,,,,NON-TYPE,6545056,
3315005, , ,Spain,M. Verdu,,Mytilococeus (Insulaspis) gloverii,,,,NON-TYPE,6546318,
3315006,24/03/1987, ,Spain,M. Verdu,,,,,Yes,,6544207,
3315007, , ,Spain,M. Verdu,,Mytilococcus Insulaspis gloverii,,,No,NON-TYPE,6546932,
3315008, , ,Malta,C. Ferrugia,,citrus scale Inulaspis gloveri or Parlatoria pergandei,,,Yes,NON-TYPE,6545883,
3315010, , ,Spain,M. Verdu,,Mytilacoscus (Insulaspis) gloverii,,,,NON-TYPE,6545603,
3315011,05/1987, ,Spain,,,Aspidiotus hederae,,,No,NON-TYPE,6544137,
3315012,10/1987, ,Spain,,,Aspidiotus hederae,,,No,NON-TYPE,6546850,
3315013,05/1987, ,Spain,,,Aspidiotus hederae,,,No,NON-TYPE,6546452,
3315015,26/09/2001, ,United States of America,I. G. Varela,,Trialeurodes vittata,Vitis vinifera,,No,Type,6544651,
3315016,16/05/1930, ,Spain,,,Prospaetella calitaris,,,No,Type,6544815,
3315017, , ,Indonesia,D. Sartiami,S. Schmidt,Eugenia,Eugenia,,No,Type,6545133,
3315019, , ,Puerto Rico,A. Busck,,Aleurodicus sp.,Climbing vine,,No,Type,6545452,
3315020,11/07/1971, ,United Kingdom,Boucek,,,,,No,NON-TYPE,6546273,
3315021, , ,Spain,M. Verdu,,Insulaspis gloverii,mytilococcus gloverii,,No,NON-TYPE,6544620,
3315022, , ,Spain,M. Verdu,,,Insulaspis gloverii,,No,NON-TYPE,6546406,
3315023,24/03/1987, ,Spain,,,Mytilococcus (Insulaspis) gloverii,,,,NON-TYPE,6545428,
3315025,06/1938, ,"Congo, the Democratic Republic of the",J. Ghesquiere,,egg Plataspidae,,,,NON-TYPE,6546457,
